PersonnelNumber,EmploymentStatus,CareerTrackCode,CareerTrack,TalentSegmentCode,TalentSegment,StandardJob,Community,CommunityCode,DiamondClient,Gender
ID12103,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,To Be Assigned,CW,Diamond,Male
ID12104,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Business&Integration Arch Manager,BOS_CROSS,RM,Diamond,Female
ID12105,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,IDC ARIS51,IM,NULL,Male
ID12106,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,IDC CMT158,FW,Mega Diamond,Male
ID12107,Active,520,Client Delivery & Operations,52971395,Software Engineering,Test Engineering Associate Manager,IDC HPS00,RM,Diamond,Female
ID12108,Active,520,Client Delivery & Operations,52971395,Software Engineering,Test Engineering Associate Manager,IDC CMT101,EU,Diamond,Male
ID12109,Active,510,Client & Market,52994537,Business & Technology Integration,Digital Business Integration Manager,COL_CROSS,7G,,Male
ID12110,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Business&Integration Arch Specialist,BOS_CROSS,RM,Diamond,Male
ID12111,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Senior Analyst,IDC ITP-MDC02,R6,Target,Male
ID12112,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,IDC ITP-BDC01,VY,,Female
ID12113,Active,520,Client Delivery & Operations,52971395,Software Engineering,Test Engineering Specialist,IDC FSBBKG,KJ,Diamond,Female
ID12114,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,IDC FSIG15,O1,Mega Diamond,Female
ID12115,Active,520,Client Delivery & Operations,52971396,Solution Architecture,Solution Enablement Senior Analyst,To Be Assigned,CW,,Female
ID12116,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Business&Integration Arch Assoc Manager,IDC RES28,LS,Emerging Diamond,Male
ID12117,Active,520,Client Delivery & Operations,52971395,Software Engineering,Test Engineering Senior Analyst,IDC ITP-BDC04,YT,NULL,Female
ID12118,Active,520,Client Delivery & Operations,52971395,Software Engineering,Test Engineering Specialist,IDC ITP-NCR01,M6,,Male
ID12119,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,Ava CMTAO0032,3N,NULL,Male
ID12120,Active,520,Client Delivery & Operations,52971395,Software Engineering,Test Engineering Associate Manager,SAN_CROSS,GQ,NULL,Female
ID12121,Active,510,Client & Market,52994537,Business & Technology Integration,Technology Consulting Manager,BOS_CROSS,RM,Diamond,Male
ID12122,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,IDC CMT158,FW,Mega Diamond,Male
ID12123,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Manager,US_TGP_GCP,E6,Mega Diamond,Male
ID12124,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,AUS_CROSS,1P,Mega Diamond,Female
ID12125,Active,520,Client Delivery & Operations,52971391,"Program, Project & Service Mgmt",Program & Project Mgmt Manager,HRT_CROSS,M7,Diamond,Male
ID12126,Active,520,Client Delivery & Operations,52971395,Software Engineering,Test Engineering Specialist,IDC FSBOA01,HG,Diamond,Male
ID12127,Active,520,Client Delivery & Operations,52994538,Business Advisory,Supply Chain Advisory Specialist,Voice + Domain,NR,Emerging Diamond,Female
ID12128,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Assoc Manager,US_TGP_GCP,E6,Emerging Diamond,Male
ID12129,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,IDC FSBOA04,FB,NULL,Male
ID12130,Active,520,Client Delivery & Operations,52971395,Software Engineering,Test Engineering Specialist,IDC PRO00,5S,Target,Female
ID12131,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,Avanade FSMAMAO,C1,Diamond,Male
ID12132,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,IDC FSBOA01,HG,Mega Diamond,Male
ID12133,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,IDC RES07,GE,Mega Diamond,Male
ID12134,Active,520,Client Delivery & Operations,52971395,Software Engineering,Test Engineering Senior Analyst,IDC FSBOA05,5A,,Male
ID12135,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Senior Analyst,Avanade CIO06,6Z,,Male
ID12136,Active,540,Innovation & Thought Leadership,52994539,Management Consulting,Management Consulting Senior Principal,GTIN_SCM_SLO,B9,,Male
ID12137,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,IDC FSIG07,FG,,Male
ID12138,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,Avanade FSIG01,2T,NULL,Male
ID12139,Active,510,Client & Market,52994539,Management Consulting,Management Consulting Manager,CHA_CROSS,4N,,Female
ID12140,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,IDC FSWM01,J6,Mega Diamond,Female
ID12141,Active,520,Client Delivery & Operations,52971395,Software Engineering,Test Engineering Senior Analyst,IDC HPS-HC-02,RO,Mega Diamond,Female
ID12142,Active,520,Client Delivery & Operations,52971395,Software Engineering,Test Engineering Specialist,IDC CMTAO0072,MC,Mega Diamond,Male
ID12143,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,IDC FS00,XH,Mega Diamond,Female
ID12144,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,IDC PROCGS08,IV,NULL,Female
ID12145,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,IDC PROAI04,P8,Mega Diamond,Male
ID12146,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Functional Data Integration Specialist,IDC PROLS03,5W,NULL,Female
ID12147,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,IDC CMT101,EU,Mega Diamond,Male
ID12148,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,IDC CMTAO0021,9N,Diamond,Male
ID12149,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,Avanade OAS01,8B,Mega Diamond,Male
ID12150,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Business&Integration Arch Assoc Manager,IDC CMTAO0041,9W,NULL,Male
ID12151,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Senior Analyst,IDC HPS-HC-02,RO,Target,Female
ID12152,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,IDC RES28,LS,Diamond,Male
ID12153,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,IDC OTH01,D1,,Male
ID12154,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,IDC ITP-CDC01,SO,Diamond,Male
ID12155,Active,520,Client Delivery & Operations,52971395,Software Engineering,Test Engineering Specialist,IDC CMTAO0051,9Z,,Female
ID12156,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,IDC RES03,6O,,Female
ID12157,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,IDC HPS-HC-04,RR,Mega Diamond,Female
ID12158,Active,520,Client Delivery & Operations,52971395,Software Engineering,Test Engineering Specialist,IDC CMTAO0072,MC,Diamond,Male
ID12159,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Business&Integration Arch Assoc Manager,To Be Assigned,CW,NULL,Male
ID12160,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Business&Integration Arch Assoc Manager,IDC RES22,K3,Mega Diamond,Male
ID12161,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Business&Integration Arch Specialist,IDC RES02,PI,Mega Diamond,Male
ID12162,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,IDC FSIG16,O2,,Male
ID12163,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,To Be Assigned,CW,,Male
ID12164,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Team Lead,IDC CMTAO0061,LR,,Male
ID12165,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Business&Integration Arch Specialist,To Be Assigned,CW,,Female
ID12166,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,IDC FSBAR04,V5,,Female
ID12167,Active,520,Client Delivery & Operations,52994538,Business Advisory,Analytics Advisory Specialist,IDC PROTTS03,MU,Mega Diamond,Female
ID12168,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,IDC PROTTS07,KG,Target,Male
ID12169,Active,520,Client Delivery & Operations,52971382,IT Operations,IT Operations Specialist,IO-DC IO-DC 04,L3,NULL,Female
ID12170,Active,520,Client Delivery & Operations,52971395,Software Engineering,Test Engineering Specialist,IDC FSBOA01,HG,,Female
ID12171,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Assoc Manager,Avanade AVA000,4R,Diamond,Male
ID12172,Active,520,Client Delivery & Operations,52971049,Business Process Delivery,Transaction Processing Analyst,Voice + Domain,NR,,Female
ID12173,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,To Be Assigned,CW,NULL,Female
ID12174,Active,520,Client Delivery & Operations,52994538,Business Advisory,Business Advisory Associate Manager,Non Voice,A5,Diamond,Male
ID12175,Active,520,Client Delivery & Operations,52971394,Sales Enablement,Ecosystem & Client Services Manager,CHG_CROSS,G5,NULL,Female
ID12176,Active,510,Client & Market,52994537,Business & Technology Integration,Technology Consulting Manager,ONE_MINNEAPOLIS,V5,,Male
ID12177,Active,520,Client Delivery & Operations,52971391,"Program, Project & Service Mgmt",Service Delivery Ops Senior Analyst,Non Voice,A5,Mega Diamond,Female
ID12178,Active,520,Client Delivery & Operations,52971381,Security,Security Associate Manager,IDC CIO04,N2,Mega Diamond,Male
ID12179,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Assoc Manager,IDC PROBBY02,P5,,Male
ID12180,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Manager,IDC RES09,6S,Mega Diamond,Male
ID12181,Active,510,Client & Market,52994537,Business & Technology Integration,Technology Consulting Manager,HOU_CROSS,K1,,Male
ID12182,Active,520,Client Delivery & Operations,52971391,"Program, Project & Service Mgmt",PPSM Team Lead,IO-DC IO-DC 01,HV,NULL,Female
ID12183,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Manager,IDC RES13,6U,,Male
ID12184,Active,520,Client Delivery & Operations,52994538,Business Advisory,Financial Acct Advisory Specialist,Non Voice,A5,Diamond,Male
ID12185,Active,510,Client & Market,52994537,Business & Technology Integration,Digital Business Integration Manager,DNV_CROSS,9X,Mega Diamond,Female
ID12186,Active,510,Client & Market,52994537,Business & Technology Integration,Digital Business Integration Manager,WDC_CROSS,OG,,Male
ID12187,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Business&Integration Arch Specialist,NOC_CROSS,OX,Mega Diamond,Female
ID12188,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Assoc Manager,US_TGP_GCP,E6,Diamond,Male
ID12189,Active,520,Client Delivery & Operations,52971398,Technology Architecture,Tech Architecture Delivery Manager,US_TGP_GCP,E6,Diamond,Male
ID12190,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Technology Delivery Lead Senior Manager,IDC Siebel 66,LQ,Diamond,Male
ID12191,Active,510,Client & Market,52971384,Analytics,Fnctional & Indstry Analytics Sr Mgr,ATL_CROSS,3Z,Diamond,Male
ID12192,Active,510,Client & Market,52994539,Management Consulting,Management Consulting Manager,CHG_CROSS,G5,Diamond,Male
ID12193,Active,510,Client & Market,52994537,Business & Technology Integration,Technology Consulting Manager,ONE_MINNEAPOLIS,V5,Emerging Diamond,Male
ID12194,Active,510,Client & Market,52994537,Business & Technology Integration,Technology Consulting Manager,CHG_CROSS,G5,NULL,Female
ID12195,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Assoc Manager,PHL_CROSS,2I,Diamond,Male
ID12196,Active,510,Client & Market,52971397,Strategy,Business Strategy Senior Manager,WDC_CROSS,OG,NULL,Female
ID12197,Active,550,Sales,52971393,Sales,Deal Execution Manager,CLE_CROSS,6J,Mega Diamond,Male
ID12198,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Assoc Manager,To Be Assigned,CW,NULL,Female
ID12199,Active,520,Client Delivery & Operations,52971382,IT Operations,IT Operations Team Lead,IO-DC IO-DC 05,M5,Diamond,Male
ID12200,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Bus & Technology Delivery Senior Manager,CHG_CROSS,G5,NULL,Male
ID12201,Active,510,Client & Market,52994539,Management Consulting,Management Consulting Senior Manager,DET_CROSS,8Y,,Male
ID12202,Active,520,Client Delivery & Operations,52971388,"Performance, Risk & Quality",Tech Delivery & Op Excellence Specialist,IDC ITP-BDC04,YT,Emerging Diamond,Female
ID12203,Active,510,Client & Market,52994537,Business & Technology Integration,Digital Business Integration Manager,HOU_CROSS,K1,Diamond,Male
ID12204,Active,510,Client & Market,52994539,Management Consulting,Management Consulting Manager,NOC_CROSS,OX,,Female
ID12205,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,IDC CMT161,G1,Mega Diamond,Male
ID12206,Active,520,Client Delivery & Operations,52971391,"Program, Project & Service Mgmt",Project Control Services Team Lead,To Be Assigned,CW,NULL,Female
ID12207,Active,520,Client Delivery & Operations,52971395,Software Engineering,Test Engineering Associate Manager,HOU_CROSS,K1,,Female
ID12208,Active,510,Client & Market,52971384,Analytics,Fnctional & Indstry Analytics Sr Mgr,GTIN_CRM_AN,AP,Diamond,Male
ID12209,Active,520,Client Delivery & Operations,52971395,Software Engineering,Test Architect Specialist,Avanade FSBOA07,7Q,,Male
ID12210,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Manager,US_TGP_GCP,E6,,Male
ID12211,Active,510,Client & Market,52994537,Business & Technology Integration,Technology Consulting Senior Manager,MIA_CROSS,R9,Diamond,Male
ID12212,Active,520,Client Delivery & Operations,52971395,Software Engineering,Test Engineering Specialist,IDC OTH01,D1,NULL,Female
ID12213,Active,510,Client & Market,52971384,Analytics,Fnctional & Indstry Analytics Mgr,ND XC_1 Jain,CO,,Male
ID12214,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Assoc Manager,IDC PROLS07,5X,Diamond,Male
ID12215,Active,520,Client Delivery & Operations,52971398,Technology Architecture,Tech Architecture Delivery Assoc Mgr,IDC JV701,KD,Diamond,Male
ID12216,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Assoc Manager,Avanade FSBOA07,7Q,Mega Diamond,Male
ID12217,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,IO-DC IO-DC 08,V8,Emerging Diamond,Male
ID12218,Active,520,Client Delivery & Operations,52971395,Software Engineering,Software Developer Associate Manager,COL_CROSS,7G,NULL,Male
ID12219,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,IDC ITP-NCR01,M6,Emerging Diamond,Male
ID12220,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Assoc Manager,IDC CMTAO0042,9X,Mega Diamond,Female
ID12221,Active,520,Client Delivery & Operations,52971395,Software Engineering,Software Engineering Manager,Ava CMTAO0032,3N,Diamond,Male
ID12222,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Assoc Manager,IDC FSIG17,O3,,Female
ID12223,Active,520,Client Delivery & Operations,52971391,"Program, Project & Service Mgmt",Project Control Services Team Lead,IDC PROBBY08,PE,NULL,Male
ID12224,Active,520,Client Delivery & Operations,52994538,Business Advisory,Supply Chain Advisory Specialist,Non Voice,A5,Diamond,Male
ID12225,Active,520,Client Delivery & Operations,52971391,"Program, Project & Service Mgmt",Project Control Services Team Lead,IDC PROBBY08,PE,NULL,Male
ID12226,Active,510,Client & Market,52971380,Infrastructure,Infrastructure Consulting Manager,NOC_SACRAMENTO,1J,Mega Diamond,Male
ID12227,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Senior Analyst,IDC FSBAR04,V5,Diamond,Male
ID12228,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,IDC CMT161,G1,Mega Diamond,Male
ID12229,Active,520,Client Delivery & Operations,52971395,Software Engineering,Software Engineering Associate Manager,IDC TC SEC01,N5,Diamond,Male
ID12230,Active,510,Client & Market,52971384,Analytics,Fnctional & Indstry Analytics Sr Mgr,GTIN_CRM_AN,AP,Emerging Diamond,Male
ID12231,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,IDC CIO02,FS,Mega Diamond,Male
ID12232,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Business&Integration Arch Assoc Manager,IDC CMTAO008,ME,Mega Diamond,Female
ID12233,Active,510,Client & Market,52994539,Management Consulting,Management Consulting Senior Manager,CHG_CROSS,G5,NULL,Female
ID12234,Active,520,Client Delivery & Operations,52971395,Software Engineering,Test Engineering Specialist,IDC CIO04,N2,NULL,Female
ID12235,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Assoc Manager,IDC HPS-HC-04,RR,Target,Male
ID12236,Active,520,Client Delivery & Operations,52971390,"Product, Service & Offering Development",PS&OD Team Lead,IDC OTH03,HR,NULL,Female
ID12237,Active,520,Client Delivery & Operations,52971396,Solution Architecture,Tech Solution Planning Sr Mgr,US_TGP_GCP,E6,,Male
ID12238,Active,520,Client Delivery & Operations,52971382,IT Operations,IT Operations Team Lead,IO-DC IO-DC 20,L6,Diamond,Female
ID12239,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,IDC PRO00,5S,NULL,Male
ID12240,Active,520,Client Delivery & Operations,52971395,Software Engineering,Test Engineering Associate Manager,IDC ITP-MDC01,H2,Mega Diamond,Male
ID12241,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Business&Integration Arch Specialist,To Be Assigned,CW,Mega Diamond,Male
ID12242,Active,520,Client Delivery & Operations,52971395,Software Engineering,Test Engineering Specialist,IDC ARIS51,IM,NULL,Male
ID12243,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Senior Analyst,IDC PROR03,H9,NULL,Female
ID12244,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,IDC ITP-CDC01,SO,,Male
ID12245,Active,520,Client Delivery & Operations,52971391,"Program, Project & Service Mgmt",Program & Project Mgmt Senior Analyst,IDC FSBOA03,CI,Mega Diamond,Male
ID12246,Active,520,Client Delivery & Operations,52971395,Software Engineering,Test Engineering Specialist,IDC CMTAO0014,9J,Mega Diamond,Male
ID12247,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,IDC PROCGS09,JC,Mega Diamond,Female
ID12248,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Business&Integration Arch Specialist,To Be Assigned,CW,,Male
ID12249,Active,520,Client Delivery & Operations,52971395,Software Engineering,Test Engineering Specialist,IDC FSBBKG,KJ,NULL,Male
ID12250,Active,520,Client Delivery & Operations,52971395,Software Engineering,Test Engineering Specialist,IDC ITP-NCR01,M6,Diamond,Female
ID12251,Active,520,Client Delivery & Operations,52971391,"Program, Project & Service Mgmt",Project Control Services Associate Mgr,Avanade FSIG09,3O,Target,Male
ID12252,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,IDC PROLS05,ZX,Emerging Diamond,Male
ID12253,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,IDC RES19,7F,,Male
ID12254,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Business&Integration Arch Specialist,IDC OTH02,S2,Mega Diamond,Female
ID12255,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,IDC ARIS01,FX,Diamond,Male
ID12256,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,Avanade ARIS51,BP,Mega Diamond,Male
ID12257,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,IDC PROLS10,SL,Diamond,Male
ID12258,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Business&Integration Arch Manager,ATL_CROSS,3Z,,Male
ID12259,Active,510,Client & Market,52971397,Strategy,Functional Strategy Manager,ATL_CROSS,3Z,Diamond,Male
ID12260,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Assoc Manager,PHL_CROSS,2I,,Male
ID12261,Active,510,Client & Market,52971380,Infrastructure,Infrastructure Consulting Consultant,HOU_CROSS,K1,NULL,Male
ID12262,Active,520,Client Delivery & Operations,52971395,Software Engineering,Test Engineering Manager,CHG_CROSS,G5,Mega Diamond,Male
ID12263,Active,520,Client Delivery & Operations,52971395,Software Engineering,Test Engineering Specialist,IDC HPS-HC-03,RQ,Diamond,Male
ID12264,Active,520,Client Delivery & Operations,52971395,Software Engineering,Test Engineering Senior Analyst,IDC PROAI02,5T,Diamond,Male
ID12265,Active,520,Client Delivery & Operations,52971395,Software Engineering,Test Engineering Specialist,IDC CMT121,F1,Target,Female
ID12266,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,IDC RES04,6P,,Female
ID12267,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Business&Integration Arch Specialist,IDC ARIS10,H1,Emerging Diamond,Male
ID12268,Active,520,Client Delivery & Operations,52971395,Software Engineering,Test Engineering Senior Analyst,IDC CMTAO0072,MC,Mega Diamond,Male
ID12269,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,IDC PROAI05,MN,NULL,Female
ID12270,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,IDC ITP-MDC03,OQ,,Female
ID12271,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Senior Analyst,Avanade PROLS09,8Q,Emerging Diamond,Male
ID12272,Active,520,Client Delivery & Operations,52971388,"Performance, Risk & Quality",Tech Delivery & Op Excellence Specialist,IDC ITP-BDC06,SG,Diamond,Male
ID12273,Active,520,Client Delivery & Operations,52971395,Software Engineering,Test Engineering Specialist,IDC CMT APSS,J9,,Female
ID12274,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Senior Analyst,IDC HPS-HC-03,RQ,Mega Diamond,Male
ID12275,Active,520,Client Delivery & Operations,52971395,Software Engineering,Test Engineering Specialist,IDC CMTAO005,9Y,Mega Diamond,Male
ID12276,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,IDC RES12,6T,Mega Diamond,Female
ID12277,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,IDC ITP-BDC04,YT,,Male
ID12278,Active,520,Client Delivery & Operations,52971395,Software Engineering,Test Engineering Specialist,IDC PROLS06,W7,Diamond,Female
ID12279,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,IDC CMT APSS,J9,NULL,Male
ID12280,Active,520,Client Delivery & Operations,52971395,Software Engineering,Software Engineering Team Lead,IDC FSBOA01,HG,Mega Diamond,Female
ID12281,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,IDC PROAI11,OZ,,Male
ID12282,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Senior Analyst,To Be Assigned,CW,NULL,Female
ID12283,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,IDC FSCBMS,RJ,Mega Diamond,Female
ID12284,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Business&Integration Arch Specialist,IDC RES15,GG,NULL,Female
ID12285,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Technology Education Team Lead,IDC PROAI02,5T,NULL,Female
ID12286,Active,520,Client Delivery & Operations,52971395,Software Engineering,Test Engineering Associate Manager,Avana TC DCT01,AI,Mega Diamond,Male
ID12287,Active,520,Client Delivery & Operations,52971395,Software Engineering,Test Engineering Specialist,IDC ITP-BDC04,YT,Mega Diamond,Female
ID12288,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Senior Analyst,IDC PROLS06,W7,,Male
ID12289,Active,520,Client Delivery & Operations,52971395,Software Engineering,Test Engineering Specialist,IDC ITP-BDC04,YT,,Female
ID12290,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,IDC ITP-BDC03,LG,Mega Diamond,Male
ID12291,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Manager,HRT_CROSS,M7,Diamond,Male
ID12292,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Business&Integration Arch Specialist,IDC TRGD1,LT,Mega Diamond,Male
ID12293,Active,520,Client Delivery & Operations,52971391,"Program, Project & Service Mgmt",Program & Project Mgmt Specialist,NOC_CROSS,OX,Mega Diamond,Female
ID12294,Active,520,Client Delivery & Operations,52971398,Technology Architecture,Tech Architecture Delivery Sr Manager,HOU_CROSS,K1,Target,Male
ID12295,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,IDC RES16,GH,Emerging Diamond,Male
ID12296,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Assoc Manager,Avanade CIO06,6Z,NULL,Female
ID12297,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Assoc Manager,IDC RES06,6R,Mega Diamond,Male
ID12298,Active,520,Client Delivery & Operations,52971395,Software Engineering,Test Engineering Specialist,IDC FSBBKG,KJ,Diamond,Male
ID12299,Active,510,Client & Market,52994537,Business & Technology Integration,Technology Consulting Senior Manager,PHL_CROSS,2I,,Male
ID12300,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,IDC ITP-BDC03,LG,,Male
ID12301,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,IDC ITP-DF01,OM,,Male
ID12302,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Manager,IDC HPS-HC-01,RN,,Male
ID12303,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Business&Integration Arch Assoc Manager,IDC FSIGBA01,HZ,Diamond,Male
ID12304,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Assoc Manager,IDC PROLS07,5X,NULL,Female
ID12305,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Manager,IDC ITP-MDC02,R6,Mega Diamond,Male
ID12306,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Assoc Manager,Avanade FSIG21,7V,Emerging Diamond,Male
ID12307,Active,520,Client Delivery & Operations,52971398,Technology Architecture,Tech Architecture Delivery Specialist,IDC CMT156,FT,,Male
ID12308,Active,520,Client Delivery & Operations,52971395,Software Engineering,Software Engineering Associate Manager,IDC RES18,GJ,,Male
ID12309,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,IDC FSIG05,I8,Emerging Diamond,Male
ID12310,Active,520,Client Delivery & Operations,52971395,Software Engineering,Test Engineering Specialist,IDC PROR02,YC,Diamond,Female
ID12311,Active,520,Client Delivery & Operations,52971379,Industry Solutions & Services,Industry Solns & Svcs Senior Manager,PHX_CROSS,D6,,Male
ID12312,Active,520,Client Delivery & Operations,52971395,Software Engineering,Test Engineering Associate Manager,NYM_CROSS,OZ,,Male
ID12313,Active,550,Sales,52971393,Sales,Deal Execution Senior Manager,SEA_CROSS,2S,Mega Diamond,Male
ID12314,Active,520,Client Delivery & Operations,52971381,Security,Security Team Lead,IDC PROLS08,PG,NULL,Female
ID12315,Active,520,Client Delivery & Operations,52971384,Analytics,Digital Data Engineering Assoc Manager,IDC ITP-BDC01,VY,,Female
ID12316,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Specialist,IDC PROCGS13,SK,NULL,Male
ID12317,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Assoc Manager,IDC FSJPMC02,KT,NULL,Male
ID12318,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Assoc Manager,IDC FSIG10,OJ,Target,Male
